"report-def-0-rfile"
"Iteration" "report-def-total-pressure-drop"
("Iteration" "report-def-total-pressure-drop")
1 230726.0181307454
2 309210.3289346868
3 358473.4685429966
4 366315.9327785349
5 364957.4980411849
6 362515.5251727346
7 362120.8785322476
8 362246.1172017361
9 362840.0824072456
10 363332.4646669072
11 363699.9673388547
12 363953.3745824497
